iter	Passed	Remaining
0	2	2457
1	5	2549
2	8	2667
3	9	2447
4	11	2366
5	14	2450
6	17	2427
7	20	2529
8	23	2615
9	25	2542
10	29	2626
11	31	2609
12	33	2570
13	35	2515
14	40	2654
15	46	2834
16	48	2793
17	51	2801
18	54	2790
19	55	2743
20	59	2767
21	61	2730
22	65	2768
23	66	2724
24	70	2756
25	72	2714
26	75	2732
27	77	2706
28	81	2718
29	83	2687
30	88	2772
31	92	2790
32	95	2792
33	97	2783
34	100	2761
35	102	2732
36	103	2701
37	107	2715
38	109	2689
39	111	2671
40	113	2647
41	114	2613
42	116	2597
43	118	2576
44	120	2565
45	122	2546
46	124	2528
47	126	2518
48	128	2502
49	131	2493
50	133	2476
51	135	2463
52	137	2456
53	139	2443
54	141	2439
55	144	2432
56	146	2421
57	148	2418
58	150	2396
59	152	2388
60	153	2366
61	155	2355
62	159	2366
63	160	2353
64	163	2350
65	165	2336
66	167	2328
67	169	2323
68	171	2316
69	174	2317
70	176	2310
71	179	2308
72	181	2302
73	183	2292
74	185	2284
75	187	2277
76	191	2297
77	195	2311
78	199	2329
79	201	2320
80	206	2337
81	208	2334
82	210	2328
83	214	2337
84	216	2329
85	218	2321
86	221	2322
87	223	2313
88	225	2311
89	228	2308
90	230	2304
91	232	2298
92	235	2297
93	237	2289
94	239	2285
95	242	2284
96	245	2288
97	247	2280
98	250	2277
99	252	2274
100	256	2284
101	258	2276
102	260	2268
103	263	2267
104	266	2269
105	269	2268
106	271	2266
107	273	2260
108	275	2255
109	277	2247
110	279	2240
111	282	2241
112	284	2233
113	286	2228
114	288	2222
115	290	2214
116	293	2214
117	295	2206
118	297	2200
119	299	2194
120	301	2193
121	303	2187
122	305	2180
123	308	2176
124	310	2171
125	312	2166
126	314	2160
127	316	2154
128	317	2145
129	319	2140
130	322	2140
131	325	2139
132	327	2135
133	329	2131
134	331	2124
135	333	2121
136	335	2115
137	338	2112
138	340	2109
139	342	2103
140	344	2101
141	346	2095
142	348	2088
143	350	2084
144	352	2079
145	355	2082
146	357	2077
147	360	2075
148	362	2069
149	364	2065
150	366	2062
151	369	2059
152	371	2054
153	373	2049
154	374	2041
155	376	2036
156	378	2030
157	380	2025
158	382	2024
159	385	2022
160	387	2017
161	389	2013
162	392	2015
163	394	2010
164	396	2007
165	398	2001
166	400	1998
167	402	1993
168	404	1987
169	406	1984
170	408	1980
171	409	1972
172	412	1971
173	414	1967
174	417	1966
175	419	1962
176	421	1957
177	423	1956
178	425	1952
179	428	1951
180	432	1955
181	434	1954
182	437	1952
183	439	1950
184	443	1951
185	446	1952
186	449	1954
187	452	1953
188	457	1962
189	459	1958
190	461	1955
191	463	1952
192	465	1947
193	467	1943
194	470	1941
195	472	1936
196	474	1933
197	475	1926
198	477	1922
199	479	1918
200	481	1915
201	483	1912
202	486	1909
203	488	1905
204	490	1902
205	492	1898
206	494	1894
207	496	1892
208	498	1886
209	500	1883
210	503	1881
211	505	1878
212	507	1876
213	509	1873
214	512	1869
215	513	1865
216	517	1867
217	519	1863
218	521	1859
219	523	1854
220	525	1852
221	527	1848
222	529	1845
223	532	1844
224	533	1838
225	536	1836
226	538	1832
227	540	1830
228	542	1828
229	545	1825
230	547	1823
231	549	1819
232	553	1821
233	555	1817
234	557	1815
235	561	1816
236	564	1818
237	567	1815
238	569	1812
239	572	1812
240	574	1808
241	576	1804
242	578	1802
243	580	1798
244	582	1794
245	584	1791
246	586	1786
247	588	1784
248	590	1780
249	592	1777
250	594	1775
251	597	1773
252	600	1771
253	604	1775
254	606	1773
255	610	1773
256	612	1770
257	616	1772
258	620	1775
259	622	1772
260	625	1771
261	628	1771
262	631	1769
263	633	1766
264	635	1763
265	638	1760
266	641	1761
267	643	1758
268	645	1755
269	649	1757
270	651	1753
271	655	1754
272	657	1750
273	660	1749
274	665	1755
275	668	1754
276	672	1754
277	675	1753
278	677	1750
279	680	1749
280	683	1748
281	686	1747
282	688	1745
283	691	1743
284	694	1741
285	696	1739
286	699	1738
287	703	1738
288	705	1736
289	708	1733
290	712	1735
291	713	1730
292	717	1730
293	719	1726
294	723	1728
295	725	1725
296	728	1724
297	731	1724
298	734	1721
299	738	1722
300	742	1725
301	744	1721
302	747	1720
303	750	1717
304	752	1714
305	754	1711
306	758	1711
307	760	1708
308	763	1706
309	765	1704
310	768	1702
311	771	1702
312	774	1699
313	776	1696
314	779	1694
315	781	1692
316	783	1688
317	788	1691
318	791	1688
319	794	1688
320	798	1689
321	801	1687
322	803	1684
323	805	1681
324	808	1679
325	810	1676
326	813	1673
327	815	1670
328	817	1667
329	819	1664
330	821	1661
331	825	1660
332	827	1658
333	830	1656
334	832	1653
335	835	1650
336	837	1648
337	841	1647
338	843	1645
339	846	1642
340	849	1641
341	851	1638
342	855	1638
343	858	1637
344	861	1634
345	862	1630
346	865	1629
347	869	1628
348	871	1625
349	873	1622
350	875	1619
351	878	1616
352	880	1613
353	882	1610
354	884	1607
355	886	1603
356	888	1600
357	890	1597
358	892	1594
359	894	1591
360	899	1591
361	901	1588
362	903	1586
363	906	1583
364	908	1581
365	911	1578
366	913	1576
367	916	1574
368	918	1570
369	921	1568
370	922	1563
371	924	1560
372	926	1557
373	929	1555
374	931	1552
375	933	1548
376	935	1546
377	937	1543
378	940	1541
379	942	1537
380	943	1533
381	946	1531
382	948	1527
383	950	1525
384	952	1521
385	955	1519
386	956	1515
387	958	1512
388	961	1509
389	963	1506
390	965	1504
391	968	1502
392	972	1501
393	974	1498
394	976	1495
395	978	1492
396	980	1489
397	983	1486
398	985	1483
399	987	1480
400	989	1477
401	991	1474
402	994	1473
403	996	1469
404	998	1467
405	1000	1464
406	1003	1461
407	1005	1458
408	1007	1455
409	1009	1452
410	1011	1449
411	1013	1446
412	1016	1444
413	1019	1442
414	1021	1440
415	1024	1438
416	1027	1436
417	1031	1436
418	1034	1434
419	1036	1431
420	1038	1428
421	1041	1425
422	1042	1422
423	1045	1420
424	1047	1417
425	1049	1414
426	1051	1411
427	1054	1408
428	1056	1406
429	1058	1402
430	1060	1400
431	1062	1397
432	1065	1395
433	1067	1392
434	1069	1389
435	1072	1387
436	1075	1385
437	1077	1382
438	1079	1379
439	1081	1377
440	1084	1374
441	1088	1373
442	1090	1370
443	1092	1368
444	1094	1365
445	1096	1362
446	1099	1360
447	1102	1358
448	1104	1354
449	1106	1352
450	1108	1348
451	1110	1345
452	1112	1343
453	1114	1340
454	1117	1338
455	1119	1335
456	1122	1333
457	1123	1329
458	1125	1326
459	1130	1327
460	1133	1325
461	1135	1321
462	1137	1319
463	1139	1316
464	1141	1313
465	1145	1312
466	1147	1309
467	1149	1306
468	1151	1303
469	1153	1301
470	1155	1297
471	1157	1295
472	1160	1292
473	1162	1289
474	1165	1287
475	1166	1284
476	1169	1281
477	1171	1278
478	1173	1276
479	1175	1273
480	1177	1270
481	1180	1268
482	1197	1282
483	1220	1301
484	1237	1314
485	1246	1318
486	1248	1315
487	1256	1318
488	1263	1320
489	1267	1319
490	1269	1316
491	1274	1316
492	1281	1318
493	1287	1318
494	1289	1315
495	1292	1313
496	1294	1310
497	1297	1307
498	1299	1304
499	1301	1301
500	1303	1298
501	1305	1294
502	1306	1291
503	1308	1288
504	1311	1285
505	1313	1282
506	1316	1280
507	1321	1279
508	1326	1279
509	1329	1277
510	1331	1274
511	1333	1270
512	1335	1267
513	1337	1264
514	1340	1262
515	1342	1259
516	1344	1255
517	1346	1252
518	1348	1249
519	1351	1247
520	1353	1244
521	1356	1242
522	1358	1239
523	1360	1236
524	1362	1232
525	1365	1230
526	1367	1227
527	1370	1225
528	1374	1223
529	1376	1220
530	1380	1219
531	1383	1216
532	1385	1213
533	1387	1210
534	1389	1207
535	1391	1204
536	1393	1201
537	1395	1198
538	1397	1195
539	1399	1192
540	1402	1189
541	1404	1186
542	1406	1183
543	1408	1180
544	1410	1177
545	1413	1175
546	1415	1171
547	1417	1169
548	1419	1166
549	1421	1163
550	1423	1159
551	1425	1156
552	1427	1153
553	1430	1151
554	1434	1149
555	1437	1147
556	1439	1144
557	1441	1141
558	1443	1138
559	1445	1135
560	1447	1132
561	1450	1130
562	1452	1127
563	1454	1124
564	1456	1121
565	1458	1118
566	1460	1115
567	1463	1112
568	1465	1109
569	1467	1106
570	1469	1104
571	1471	1101
572	1474	1098
573	1476	1095
574	1478	1092
575	1480	1089
576	1482	1086
577	1485	1084
578	1488	1082
579	1490	1079
580	1494	1077
581	1496	1074
582	1498	1071
583	1500	1068
584	1502	1065
585	1504	1062
586	1506	1059
587	1508	1056
588	1511	1054
589	1513	1051
590	1515	1048
591	1517	1045
592	1519	1042
593	1521	1039
594	1523	1036
595	1525	1033
596	1527	1031
597	1529	1028
598	1531	1025
599	1533	1022
600	1535	1019
601	1537	1016
602	1539	1013
603	1543	1011
604	1545	1008
605	1547	1006
606	1550	1003
607	1552	1000
608	1554	998
609	1557	996
610	1559	993
611	1561	990
612	1563	987
613	1566	984
614	1567	981
615	1569	978
616	1572	976
617	1574	973
618	1576	970
619	1578	967
620	1580	964
621	1582	962
622	1584	959
623	1587	956
624	1589	953
625	1591	950
626	1593	947
627	1595	944
628	1598	942
629	1604	942
630	1607	939
631	1609	937
632	1611	934
633	1614	932
634	1617	929
635	1619	926
636	1621	923
637	1623	921
638	1626	918
639	1628	916
640	1630	913
641	1633	910
642	1635	908
643	1637	905
644	1639	902
645	1641	899
646	1643	896
647	1646	894
648	1648	891
649	1651	889
650	1653	886
651	1655	883
652	1657	880
653	1660	878
654	1662	875
655	1665	873
656	1667	870
657	1670	868
658	1673	865
659	1675	863
660	1677	860
661	1679	857
662	1682	854
663	1683	852
664	1685	849
665	1687	846
666	1689	843
667	1692	840
668	1694	838
669	1696	835
670	1698	832
671	1700	829
672	1702	827
673	1704	824
674	1706	821
675	1708	818
676	1710	816
677	1713	813
678	1715	810
679	1718	808
680	1720	805
681	1724	804
682	1727	801
683	1729	799
684	1731	796
685	1733	793
686	1735	790
687	1737	788
688	1739	785
689	1742	782
690	1744	780
691	1747	777
692	1749	774
693	1751	772
694	1753	769
695	1754	766
696	1756	763
697	1759	761
698	1762	758
699	1764	756
700	1766	753
701	1768	750
702	1770	748
703	1772	745
704	1775	742
705	1776	739
706	1779	737
707	1781	734
708	1785	732
709	1788	730
710	1791	728
711	1794	725
712	1796	723
713	1798	720
714	1800	717
715	1802	714
716	1804	712
717	1806	709
718	1808	706
719	1810	704
720	1812	701
721	1814	698
722	1816	696
723	1818	693
724	1821	690
725	1823	688
726	1825	685
727	1827	682
728	1829	680
729	1831	677
730	1833	674
731	1837	672
732	1839	670
733	1842	667
734	1844	665
735	1847	662
736	1850	660
737	1852	657
738	1854	655
739	1857	652
740	1859	649
741	1861	647
742	1864	645
743	1867	642
744	1869	639
745	1871	637
746	1873	634
747	1875	631
748	1878	629
749	1880	626
750	1882	624
751	1885	621
752	1887	619
753	1889	616
754	1891	613
755	1897	612
756	1902	610
757	1906	608
758	1915	608
759	1919	606
760	1921	603
761	1925	601
762	1927	598
763	1931	596
764	1933	594
765	1938	592
766	1942	590
767	1945	587
768	1948	585
769	1954	583
770	1959	581
771	1965	580
772	1969	578
773	1973	576
774	1976	573
775	1980	571
776	1982	569
777	1985	566
778	1988	564
779	1990	561
780	1994	559
781	1996	556
782	1999	554
783	2002	551
784	2005	549
785	2007	546
786	2012	544
787	2015	542
788	2018	539
789	2022	537
790	2026	535
791	2028	532
792	2031	530
793	2033	527
794	2036	525
795	2041	523
796	2044	520
797	2046	518
798	2049	515
799	2052	513
800	2059	511
801	2062	509
802	2065	506
803	2069	504
804	2072	502
805	2075	499
